#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      1.35e+01    3.39e+00      6.26e-02    7.39e-03      4.28e-01    1.07e-01    1.0e-03
    100      1.14e+01    6.83e+00      1.50e-02    3.83e-02      3.59e-01    2.16e-01    1.0e-03
    200      5.11e+00    3.29e+00      1.12e-01    8.89e-02      1.61e-01    1.04e-01    1.0e-03
    300      3.50e+00    2.87e+00      3.91e-01    6.83e-02      1.09e-01    9.08e-02    1.0e-03
    400      3.02e+00    9.86e+03      2.48e-01    3.21e+01      9.52e-02    3.12e+02    1.0e-03
    500      5.75e+00    3.26e+00      3.27e-01    5.25e-01      1.82e-01    9.95e-02    1.0e-03
    600      4.77e+00    2.70e-02      1.08e-01    1.35e-01      1.51e-01    7.09e-08    1.0e-03
    700      6.77e+00    6.29e+00      1.79e-01    8.61e-01      2.14e-01    1.97e-01    1.0e-03
    800      1.69e+00    6.15e+00      8.23e-03    3.54e-01      5.34e-02    1.94e-01    1.0e-03
    900      2.11e+00    4.25e+00      3.95e-01    4.83e-01      6.62e-02    1.34e-01    1.0e-03
   1000      2.82e+00    1.34e+02      1.07e-02    7.45e-02      8.90e-02    4.25e+00    1.0e-03
   1100      4.20e+00    4.36e+01      1.03e-01    1.13e+00      1.33e-01    1.38e+00    1.0e-03
   1200      4.39e+00    3.77e+00      2.12e-01    3.21e-01      1.39e-01    1.19e-01    1.0e-03
   1300      3.74e+00    3.98e-01      1.50e-01    9.27e-01      1.18e-01    1.12e-02    1.0e-03
   1400      1.41e+00    2.88e+00      3.63e-01    5.65e-01      4.42e-02    8.67e-02    1.0e-03
   1500      1.61e+00    5.82e+00      1.75e-02    2.34e-02      5.08e-02    1.84e-01    1.0e-03
   1600      6.83e+00    6.55e+00      4.39e-01    3.37e-01      2.15e-01    2.07e-01    1.0e-03
   1700      1.62e+00    8.73e-02      1.91e-01    4.37e-01      5.10e-02    2.53e-08    1.0e-03
   1800      3.34e+00    1.71e+03      1.62e-01    6.75e-01      1.05e-01    5.40e+01    1.0e-03
   1900      8.13e+00    3.36e+00      4.77e-01    3.24e-01      2.57e-01    1.06e-01    1.0e-03
